Process INIT
Execution for processFile[PERSONS to go...] 
CB [Valdes]:[Valdes - 33 de Mayo - Buenos Aires] [Valdes, Valdes, Buenos Aires]
CB [Colonia San Miguel Arcangel]:[Colonia San Miguel Arcangel - Adolfo Alsina - Buenos Aires] [Colonia San Miguel Arcangel, Colonia San Miguel Arcangel, Buenos Aires]
CB [Maza]:[Maza - Adolfo Alsina - Buenos Aires] [Maza, Maza, Buenos Aires]
CB [Adolfo Gonzales Chaves]:[Adolfo Gonzales Chaves - Adolfo Gonzales Chaves - Buenos Aires] [Adolfo Gonzales Chaves, Adolfo Gonzales Chaves, Buenos Aires]
CB [Coronel Segui]:[Coronel Segui - Alberti - Buenos Aires] [Coronel Segui, Coronel Segui, Buenos Aires]
CB [Villa Ortiz]:[Villa Ortiz - Alberti - Buenos Aires] [Villa Ortiz, Villa Ortiz, Buenos Aires]
CB [Solanet]:[Solanet - Ayacucho - Buenos Aires] [Solanet, Solanet, Buenos Aires]
CB [Chillar]:[Chillar - Azul - Buenos Aires] [Chillar, Chillar, Buenos Aires]
CB [Balcarce]:[Balcarce - Balcarce - Buenos Aires] [Balcarce, Balcarce, Buenos Aires]
CB [Villa Laguna La Brava]:[Villa Laguna La Brava - Balcarce - Buenos Aires] [Villa Laguna La Brava, Villa Laguna La Brava, Buenos Aires]
CB [Arrecifes]:[Arrecifes - Arrecifes - Buenos Aires] [Arrecifes, Arrecifes, Buenos Aires]
CB [Lopez]:[Lopez - Benito Juárez - Buenos Aires] [Lopez, Lopez, Buenos Aires]
CB [Hale]:[Hale - Bolívar - Buenos Aires] [Hale, Hale, Buenos Aires]
CB [San Carlos de Bolivar]:[San Carlos de Bolivar - Bolívar - Buenos Aires] [San Carlos de Bolivar, San Carlos de Bolivar, Buenos Aires]
CB [General O'Brien]:[General O'Brien - Bragado - Buenos Aires] [General O'Brien, General O'Brien, Buenos Aires]
CB [Olascoaga]:[Olascoaga - Bragado - Buenos Aires] [Olascoaga, Olascoaga, Buenos Aires]
CB [Barrio Parque Las Acacias]:[Barrio Parque Las Acacias - Brandsen - Buenos Aires] [Barrio Parque Las Acacias, Barrio Parque Las Acacias, Buenos Aires]
CB [Samborombon]:[Samborombon - Brandsen - Buenos Aires] [Samborombon, Samborombon, Buenos Aires]
CB [Alejandro Petion]:[Alejandro Petion - Cañuelas - Buenos Aires] [Alejandro Petion, Alejandro Petion, Buenos Aires]
CB [Santa Rosa]:[Santa Rosa - Cañuelas - Buenos Aires] [Santa Rosa, Santa Rosa, Buenos Aires]
CB [Bellocq]:[Bellocq - Carlos Casares - Buenos Aires] [Bellocq, Bellocq, Buenos Aires]
CB [La Sofia]:[La Sofia - Carlos Casares - Buenos Aires] [La Sofia, La Sofia, Buenos Aires]
CB [Carlos Tejedor]:[Carlos Tejedor - Carlos Tejedor - Buenos Aires] [Carlos Tejedor, Carlos Tejedor, Buenos Aires]
